http://dbpedia.org/resource/Syrian_Air,Syrian Air,RB,SYR,SYRIANAIR
http://dbpedia.org/resource/Transaero_Airlines,Transaero,UN,TSO,TRANS SOVIET
http://dbpedia.org/resource/Van_Air_Europe,Van Air Europe,NM,VAA,EUROVAN
http://dbpedia.org/resource/Volareweb.com,Volareweb.com,VE,VLE,VOLA
http://dbpedia.org/resource/Welcome_Air,Welcome Air Luftfahrt GmbH & Co KG,2.0,WLC,WELCOMEAIR
http://dbpedia.org/resource/Western_Airlines,Western Airlines,WA,WAL,WESTERN
http://dbpedia.org/resource/Aegean_Airlines,Aegean Airlines,A3,AEE,AEGEAN
http://dbpedia.org/resource/Aer_Lingus,Aer Lingus,EI,EIN,SHAMROCK
http://dbpedia.org/resource/Aerosvit_Airlines,Aerosvit Airlines,VV,AEW,AEROSVIT
http://dbpedia.org/resource/Air_Astana,Air Astana,KC,KZR,ASTANALINE
http://dbpedia.org/resource/Air_Berlin,Air Berlin,AB,BER,AIR BERLIN
http://dbpedia.org/resource/Air_Canada,Air Canada,AC,ACA,AIR CANADA
http://dbpedia.org/resource/Air_China,Air China,CA,CCA,AIR CHINA
http://dbpedia.org/resource/Air_Europa,Air Europa,UX,AEA,EUROPA
http://dbpedia.org/resource/Air_France,Air France,AF,AFR,AIRFRANS
http://dbpedia.org/resource/Air_Malta,Air Malta,KM,AMC,AIR MALTA
http://dbpedia.org/resource/Austrian_Airlines,Austrian Airlines AG,OS,AUA,AUSTRIAN
http://dbpedia.org/resource/Cathay_Pacific,Cathay Pacific,CX,CPA,CATHAY
http://dbpedia.org/resource/Croatia_Airlines,Croatia Airlines,OU,CTN,CROATIA
http://dbpedia.org/resource/European_Aviation_Air_Charter,European Aviation Air Charter,E7,EAF,EUROCHARTER
http://dbpedia.org/resource/Germanwings,Germanwings,4,GWI,GERMANWINGS
http://dbpedia.org/resource/Japan_Airlines,Japan Airlines,JL,JAL,JAPAN AIR
http://dbpedia.org/resource/Lufthansa,Lufthansa,LH,DLH,LUFTHANSA
http://dbpedia.org/resource/Lufthansa,Deutsche Lufthansa AG,LH,DLH,LUFTHANSA
http://dbpedia.org/resource/Olympic_Airlines,Olympic Airlines,OA,OAL,OLYMPIC
http://dbpedia.org/resource/Our_Airline,Our Airline,ON,RON,AIR NAURU
http://dbpedia.org/resource/PrivatAir,PrivatAir,PT,PTI,PRIVATAIR
http://dbpedia.org/resource/Royal_Air_Maroc,Royal Air Maroc,AT,RAM,ROYAL AIR MAROC
http://dbpedia.org/resource/Royal_Jordanian,Royal Jordanian,RJ,RJA,JORDANIAN
http://dbpedia.org/resource/Scandinavian_Airlines,Scandinavian Airlines,SK,SAS,SCANDINAVIAN
